
강지광	넥센	13	21	18	5	5	0	0	0	3	2	2	0	1	9	0	0	0	0	0	0.278
홍성흔	두산	93	352	301	79	60	12	0	7	39	46	42	1	5	59	0	3	13	8	1	0.262
홍명찬	SK	5	3	3	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0.333
이대수	SK	36	86	72	19	14	3	0	2	9	12	6	0	1	23	1	7	6	0	1	0.264
김재환*	두산	48	180	153	36	21	8	0	7	24	22	22	1	2	39	2	3	6	4	1	0.235
김진형	두산	14	21	18	3	0	2	0	1	3	2	3	0	0	7	0	0	1	0	0	0.167
허정협	넥센	4	6	6	2	2	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0.333
나성용	LG	40	79	73	20	15	2	0	3	7	9	4	0	2	29	0	0	2	0	0	0.274
김연훈	SK	49	73	60	16	14	1	0	1	4	3	6	0	1	18	1	6	0	0	1	0.267
김재현	넥센	59	71	65	17	13	3	0	1	7	6	2	0	1	15	1	3	1	0	0	0.262
장운호	한화	42	141	114	29	23	4	0	2	17	8	10	0	6	27	0	11	4	5	2	0.254
이창섭	NC	15	8	5	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0
이진석	SK	6	2	2	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0.5
유민상	두산	15	45	38	10	8	1	0	1	5	6	5	0	1	9	1	1	1	1	0	0.263
오윤석	롯데	29	36	33	9	7	1	0	1	7	3	2	0	0	8	0	1	2	0	0	0.273
황대인	KIA	22	44	44	12	8	2	0	2	3	7	0	0	0	18	0	0	3	0	0	0.273
윤도경	kt	4	4	4	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0.25
박성준	LG	11	12	10	2	2	0	0	0	3	0	2	0	0	1	0	0	0	0	0	0.2
조홍석	롯데	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
조정원	한화	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
최영진	두산	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
박정진(타자)	한화	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
권혁(타자)	한화	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
스틴슨(타자)	KIA	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
최민구	삼성	6	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	-
홍성무(타자)	kt	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	-
박용근	kt	27	86	76	20	14	6	0	0	7	4	7	0	0	15	0	2	4	5	2	0.263
서동욱	넥센	55	118	103	24	16	5	0	3	14	15	11	0	3	45	0	1	1	0	0	0.233
김준완	NC	30	54	44	10	10	0	0	0	12	2	10	0	0	10	0	0	1	2	1	0.227
강구성	NC	4	5	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
지성준	한화	9	12	12	3	2	1	0	0	1	0	0	0	0	5	0	0	0	0	0	0.25
최병연	KIA	19	7	6	1	1	0	0	0	2	0	0	0	1	2	0	0	0	0	0	0.167
안중열	kt	20	28	27	4	3	1	0	0	1	1	1	0	0	5	0	0	1	1	0	0.148
이해창	kt	5	4	3	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
박철우	SK	19	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
윤영수	삼성	4	2	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
전현태	KIA	2	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
황진수	롯데	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
윤여운	kt	2	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
강민국	NC	1	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
김주현	롯데	47	79	73	19	13	4	0	2	7	12	5	0	0	19	0	1	2	1	0	0.26
모상기	kt	8	15	13	3	3	0	0	0	2	0	2	0	0	5	0	0	0	0	0	0.231
오현근	롯데	20	36	28	6	4	2	0	0	3	3	6	0	0	6	0	2	0	1	1	0.214
류지혁	두산	14	5	5	1	1	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0.2
채기영	한화	3	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
황수현	KIA	2	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
황동채	롯데	2	2	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
윤규진(타자)	한화	2	2	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
유선정	넥센	17	27	25	6	6	0	0	0	1	2	2	0	0	5	0	0	1	0	0	0.24
윤중환	SK	15	28	25	6	5	0	0	1	1	4	3	0	0	6	0	0	0	0	1	0.24
강병의	LG	8	3	3	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0.333
이영욱	삼성	38	26	22	5	3	2	0	0	8	2	3	0	1	10	0	0	0	0	1	0.227
신성현	한화	64	117	102	23	16	3	0	4	17	17	13	0	0	44	0	2	0	0	0	0.225
김태진	NC	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
송성문	넥센	7	12	12	3	3	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0.25
국해성	두산	11	26	20	4	2	1	0	1	6	5	2	0	1	5	2	3	2	0	0	0.2
임익준	한화	4	3	2	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0
김재율	LG	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
황윤호	NC	10	6	5	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0
이여상	롯데	6	6	5	0	0	0	0	0	1	0	1	0	0	3	0	0	0	0	0	0
김태완	삼성	4	6	5	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0
오준혁	한화	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
박광열	NC	33	22	21	6	5	1	0	0	2	3	0	0	0	6	1	1	1	0	1	0.286
윤요섭	kt	74	159	148	39	26	4	0	9	17	28	6	0	1	39	2	4	5	0	1	0.264
강봉규	삼성	5	8	6	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0	0	0
김재성	LG	9	7	6	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0
김재유	롯데	18	10	9	1	1	0	0	0	3	1	0	0	1	3	0	0	0	1	0	0.111
백민기	롯데	8	9	7	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0
장영석	넥센	6	8	8	1	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0.125
박준서	롯데	3	5	5	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
송광민	한화	12	41	37	9	7	2	0	0	2	1	2	0	1	11	0	1	1	0	0	0.243
박준태	KIA	51	88	66	11	8	2	1	0	15	4	13	0	6	20	0	3	0	2	1	0.167
강동수	롯데	22	8	8	1	1	0	0	0	2	0	0	0	0	6	0	0	0	0	0	0.125
노수광	KIA	10	14	12	1	0	1	0	0	2	1	2	0	0	7	0	0	0	0	0	0.083
이민재	LG	28	34	30	8	7	1	0	0	6	4	1	0	1	8	1	2	0	0	1	0.267
양종민	두산	32	18	16	2	1	0	0	1	6	2	2	0	0	5	0	0	0	0	1	0.125
이진영	LG	103	350	301	77	62	5	1	9	32	39	42	4	3	55	2	4	10	2	4	0.256
김준태	롯데	27	31	26	4	4	0	0	0	0	0	4	0	0	12	0	1	1	0	0	0.154
윤병호	NC	9	9	9	1	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0.111
이지찬	kt	34	42	39	9	7	2	0	0	4	4	2	0	0	6	0	1	2	2	0	0.231
용덕한	kt	41	108	98	22	16	5	0	1	8	8	3	0	3	18	0	4	0	0	0	0.224
김동명	kt	21	66	51	10	7	3	0	0	8	3	13	1	1	16	0	1	1	1	1	0.196
차일목	KIA	11	25	23	4	4	0	0	0	0	2	2	0	0	4	0	0	1	0	0	0.174
이종환	한화	31	88	84	26	23	3	0	0	13	12	4	0	0	15	0	0	0	0	0	0.31
이시찬	한화	34	72	64	18	17	1	0	0	7	6	4	0	1	12	2	3	3	1	1	0.281
나주환	SK	96	273	246	66	46	15	0	5	31	22	12	0	2	47	1	13	9	3	5	0.268
송민섭	kt	28	51	44	11	7	3	1	0	3	1	2	0	0	13	0	5	2	1	0	0.25
이우민	롯데	75	174	141	32	24	4	0	4	18	18	10	0	6	43	0	16	2	2	0	0.227
김종민	kt	26	35	32	7	7	0	0	0	2	1	2	0	1	3	0	0	0	0	1	0.219
황선일	한화	13	25	23	4	2	2	0	0	1	2	1	0	1	6	0	0	1	1	0	0.174
장시윤	넥센	17	31	29	8	8	0	0	0	2	2	0	0	0	9	0	2	1	0	1	0.276
신종길	KIA	99	348	313	82	60	13	4	5	56	28	25	0	6	80	0	3	3	19	5	0.262
황목치승	LG	24	74	71	19	15	3	1	0	13	8	2	0	0	10	1	1	2	2	0	0.268
김성욱	NC	125	204	182	47	35	8	1	3	32	26	17	0	4	52	1	1	4	3	3	0.258
채은성	LG	90	198	173	43	26	11	2	4	25	20	14	0	5	39	3	6	4	3	3	0.249
유서준	SK	17	13	12	1	1	0	0	0	5	0	1	0	0	3	0	0	1	3	1	0.083
조윤준	LG	7	8	8	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0
장준원	LG	20	26	24	5	5	0	0	0	2	1	1	0	0	8	1	1	0	0	0	0.208
이창진	kt	12	20	19	3	2	1	0	0	1	0	1	0	0	6	0	0	0	0	0	0.158
이상훈	삼성	4	8	7	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0
한상훈	한화	35	75	61	14	10	4	0	0	7	8	8	0	1	18	0	5	1	0	3	0.23
김영관	LG	20	21	21	3	2	0	0	1	2	2	0	0	0	9	0	0	1	0	0	0.143
김정혁	삼성	17	20	18	3	3	0	0	0	3	1	1	0	0	3	0	1	0	0	0	0.167
윤진호	LG	29	13	12	1	1	0	0	0	3	1	0	0	0	3	0	1	0	1	0	0.083
문우람	넥센	63	138	119	28	16	10	0	2	22	22	12	1	3	30	3	4	1	1	1	0.235
조중근	kt	25	39	36	8	7	0	0	1	4	2	3	1	0	6	0	0	1	0	0	0.222
최경철	LG	109	215	183	38	27	7	1	3	23	19	14	0	8	55	1	9	1	3	1	0.208
이인행	KIA	20	33	30	6	6	0	0	0	0	0	2	0	0	9	0	1	0	0	0	0.2
임병욱	넥센	40	52	43	8	5	1	1	1	13	3	9	0	0	23	0	0	1	2	4	0.186
김민식	SK	23	26	24	4	4	0	0	0	4	0	2	0	0	2	0	0	2	0	0	0.167
김재현	SK	46	20	19	2	1	0	1	0	13	0	0	0	1	6	0	0	0	7	1	0.105
김태완	한화	22	50	46	11	9	2	0	0	5	3	2	0	2	16	0	0	1	0	0	0.239
이종환	KIA	13	18	16	3	2	1	0	0	1	0	2	0	0	6	0	0	0	0	0	0.188
허도환	한화	61	106	91	16	8	7	0	1	8	6	7	0	5	29	0	3	2	0	0	0.176
김영환	kt	37	49	48	11	10	0	0	1	4	7	1	0	0	11	0	0	0	1	0	0.229
김강민	SK	96	328	293	72	51	17	0	4	43	31	23	0	7	83	1	5	6	7	4	0.246
이흥련	삼성	71	108	105	25	17	7	0	1	16	17	1	0	1	22	0	1	1	2	1	0.238
이성우	KIA	79	134	117	26	17	8	0	1	8	16	9	1	0	20	3	8	5	0	0	0.222
김재현	삼성	73	48	41	7	7	0	0	0	7	5	5	0	0	11	0	2	1	0	0	0.171
윤완주	KIA	28	38	35	6	4	1	0	1	4	2	0	0	1	8	1	2	0	0	0	0.171
루츠	두산	8	30	27	3	2	0	0	1	2	3	2	0	0	6	0	0	1	0	0	0.111
안정광	SK	10	19	19	2	2	0	0	0	0	1	0	0	0	7	0	0	0	0	0	0.105
김주형	KIA	45	88	83	19	14	3	0	2	2	3	3	0	2	22	0	0	3	0	0	0.229
김용의	LG	71	199	171	43	37	5	1	0	30	15	22	1	3	38	0	3	3	11	6	0.251
임훈	SK	33	81	69	15	14	1	0	0	10	9	7	0	2	13	1	3	3	1	0	0.217
이성열	넥센	4	14	13	3	3	0	0	0	1	1	1	0	0	4	0	0	0	0	0	0.231
김민혁	kt	82	179	156	43	38	2	3	0	21	10	14	0	2	30	0	7	3	12	7	0.276
김사연	kt	72	248	228	58	43	7	1	7	31	27	16	1	1	75	0	3	3	15	5	0.254
정진호	두산	77	172	154	36	24	5	3	4	37	18	14	0	1	24	0	3	0	6	3	0.234
이은총	KIA	11	38	35	6	5	1	0	0	3	3	1	0	1	7	0	1	0	0	0	0.171
장민석	두산	53	63	53	10	8	2	0	0	15	4	7	0	1	13	1	2	0	0	1	0.189
임재철	롯데	38	63	52	8	5	2	0	1	6	3	7	0	1	16	0	3	1	2	1	0.154
문선재	LG	103	245	212	48	29	13	1	5	27	27	23	0	3	54	1	7	4	9	6	0.226
신명철	kt	89	168	134	28	22	2	2	2	12	18	27	2	0	37	1	7	4	1	0	0.209
김태훈	kt	22	44	43	9	7	1	0	1	3	2	0	0	0	16	1	1	1	0	0	0.209
우동균	삼성	37	82	72	15	11	4	0	0	12	6	9	0	0	12	0	1	2	0	2	0.208
최승준	LG	8	31	26	2	2	0	0	0	0	1	4	0	0	7	1	1	0	0	0	0.077
김다원	KIA	108	274	245	60	46	9	0	5	31	30	15	0	12	67	2	2	8	1	0	0.245
이호신	KIA	54	62	50	7	6	1	0	0	9	3	6	0	2	16	1	4	1	3	0	0.14
김지수	넥센	104	151	132	31	24	7	0	0	23	13	9	0	2	27	1	7	2	2	1	0.235
김대륙	롯데	71	63	54	8	8	0	0	0	6	1	7	0	0	17	0	2	1	0	1	0.148
박윤	SK	17	29	27	3	3	0	0	0	1	0	0	0	1	13	0	1	1	0	0	0.111
정의윤	LG	32	75	66	17	14	3	0	0	3	7	6	0	2	19	1	1	3	2	0	0.258
박찬도	삼성	116	106	89	19	16	2	1	0	32	9	8	0	4	25	0	5	1	13	6	0.213
하준호	롯데	12	30	30	5	3	1	0	1	3	1	0	0	0	14	0	0	0	0	0	0.167
고동진	한화	27	70	59	10	6	4	0	0	5	7	2	0	4	13	0	5	3	0	0	0.169
고영우	KIA	82	57	52	8	5	2	0	1	17	4	4	0	0	15	0	1	0	7	3	0.154
최선호	삼성	33	44	42	7	6	1	0	0	8	1	0	0	0	13	0	2	0	2	0	0.167
오준혁	KIA	31	85	79	17	13	2	0	2	11	10	2	0	1	21	2	3	4	1	1	0.215
이병규(9)	LG	54	102	96	21	13	7	0	1	3	9	5	0	0	18	1	1	4	0	0	0.219
문상철	kt	51	88	80	13	8	3	0	2	10	6	7	0	0	32	0	1	1	0	0	0.163
노진혁	NC	65	42	38	3	1	2	0	0	4	2	2	0	0	11	1	2	0	0	0	0.079
